SKU_id,product_name,product_category,seller_name,seller_id,price($),availability_status,average_rating,number_of_reviews,product_link,item_name,review_category,review_rating,review_title,review_text,review_date,recommended,positive_feedback,negative_feedback,reviewer_name,review_language,fulfilled_by,review_source
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,4.0,great budget phone!,"i like the price and for a budget tier phone , if you are looking for a decent phone that will not break the bank you really can not beat it .",3/21/2026,True,0.0,0.0,justin,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,5.0,Works for me,I'm older so it takes time for me to learn new gadgets. It works well and isn't too difficult to understand.,02-06-2026,True,1.0,0.0,Elizabeth,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,4.0,Unnecessary Apps,"Some apps are not just out of date but no longer available for this model, which are installed and cannot be removed.",04-11-2026,False,0.0,0.0,L,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,4.0,Great,"I like the phone, still learning, navigating!. I lost my.old phone. It was giving me problems. Time to get a new cell phone!.Thank you!",4/29/2026,True,0.0,0.0,Fashionista,English,unknown,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,1.0,Poor activation process,"Ordered 2 on delivery, one apparently didn't scan right so it can't be activated.  Support suggests taking it to the store.  Seems like a huge waste of time.",12/25/2025,False,0.0,0.0,Jon,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,1.0,Slow Phone Slow Slow,"Phone is super slow and laggy. would not recommend to buy as the color is blue and its listed as black, also the phonenis jsut teribbly slow to open apps or move sround to do anything.",1/22/2026,False,0.0,0.0,JAKE,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,5.0,No title,When I first got a galaxy I didn't like it..Now I really like al the futures it has to offer. The only thing that I have to complain about is the storage otherwise great product.,12/27/2025,True,0.0,0.0,Kimberlee,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,5.0,No title,"Yes, I do love this phone and I recommend it. It has all the features that I need as well as good camera footage and I would definitely recommend it. Thank you.",1/29/2026,No recommendation,0.0,0.0,April,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,5.0,not worth the money!!,I disliked that the phone would just close out no matter what I was reading or listening. Then I could never get back to the page I was on. BAD PHONE!!,12/30/2025,False,0.0,0.0,Linda,English,Walmart,bazaarvoice
12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Cell Phones,Walmart.com,F55CDC31AB754BB68FE0B39041159D63,39.88,IN_STOCK,4.3,9203,/ip/Straight-Talk-Samsung-Galaxy-A15-64GB-5G-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/12835817248,"Straight Talk Samsung Galaxy A15, 64GB, 5G, Black - Prepaid Smartphone [Locked to Straight Talk]",Prepaid Android phones,1.0,No title,"I guess it’s OK. I never got a chance to use it. Someone stole it from my house that are misplaced yet. I didn’t even chance to look into it. I think it’s one you have to pay. Do you have a SIM card and then have it turned on? Anyway, I lost it.",02-06-2026,No recommendation,0.0,0.0,Dora,English,Walmart,bazaarvoice
